Fraud_Label,Avg min between sent tnx,Avg min between received tnx,Time Diff between first and last (Mins),Sent tnx,Received Tnx,Number of Created Contracts,Unique Received From Addresses,Unique Sent To Addresses,min value received,max value received ,avg val received,min val sent,max val sent,avg val sent,min value sent to contract,max val sent to contract,avg value sent to contract,total transactions (including tnx to create contract,total Ether sent,total ether received,total ether sent contracts,total ether balance, Total ERC20 tnxs, ERC20 total Ether received, ERC20 total ether sent, ERC20 total Ether sent contract, ERC20 uniq sent addr, ERC20 uniq rec addr, ERC20 uniq sent addr.1, ERC20 uniq rec contract addr, ERC20 avg time between sent tnx, ERC20 avg time between rec tnx, ERC20 avg time between rec 2 tnx, ERC20 avg time between contract tnx, ERC20 min val rec, ERC20 max val rec, ERC20 avg val rec, ERC20 min val sent, ERC20 max val sent, ERC20 avg val sent, ERC20 min val sent contract, ERC20 max val sent contract, ERC20 avg val sent contract, ERC20 uniq sent token name, ERC20 uniq rec token name, ERC20 most sent token type, ERC20_most_rec_token_type
0,3.33,51068.75,561789.58,10,11,0,8,1,0.022663,20.799,5.11114,0.923126,20.797915,5.621492,0,0,0,21,56.21491815,56.22253457,0,0.00761642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1128.56,0,2257.12,2,1,0,1,2,1.747981,1.747981,1.747981,0,0,0,0,0,0,3,0,1.74798122,0,1.74798122,10,327.9083121,0,0,0,8,0,9,0,0,0,0,0,290.214723,32.790831,0,0,0,0,0,0,0,9,None,SAFE.AD - 20% DISCOUNT UNTIL 1 MAY
0,0,648.26,449889.15,0,694,1,4,0,0,22,1.618731,0,0,0,0,0,0,695,0,1123.399095,0,1123.399095,2,0.532864637,0,0,0,2,0,2,0,0,0,0,0.082576,0.450289,0.266432,0,0,0,0,0,0,0,2,None,DATAcoin
0,45.91,58.88,450106.65,5970,2989,0,1337,2212,0,3140.99958,74.622817,0,3900,37.845721,0,0,0,8959,225938.9558,223047.6014,0,-2891.354427,325,139793.7886,137260.2674,0,21,295,0,15,0,0,0,0,0,72838.70935,470.686157,0,93524.52194,4902.152406,0,0,0,6,15,ICO,Storj
0,0,0,4.87,1,1,0,1,1,0.003,0.003,0.003,0,0,0,0,0,0,2,0,0.003,0,0.003,2,3.75E-12,5.00E-15,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,bitqy,bitqy
0,1067.84,128.81,636162.82,68,4375,0,1,4,0.443993,3.602495,1.055731,0,520.812168,67.923395,0,0,0,4443,4618.790832,4618.823828,0,0.03299662,10,1444.347483,4.431401966,0,2,8,0,8,0,0,0,0,0,768.42897,180.543435,2.2155,2.215902,2.215701,0,0,0,1,8,OmiseGO,XENON
0,1051.87,85496.6,345142.02,3,4,0,2,3,0,3.508474,1.395953,0.007,5.544,3.683667,0,0,0,7,11.051,5.5838107,0,-5.4671893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.12,0.92,21206.93,9996,4,3,3,2,1,20,11,0,0,0,0,0,0,10003,0,44,0,44,35,3106124509,100,0,1,25,0,31,0,0,0,0,0,1553054037,91356603.2,100,100,100,0,0,0,1,29,blockwell.ai KYC Casper Token,Beauty Coin
0,17441.04,1245.91,160707.1,9,3,0,2,4,1,49.995,18.996667,0,20,6.226376,0,0,0,12,56.03738689,56.99,0,0.952613114,13,122017.8964,120100,0,1,6,0,9,0,0,0,0,0,60716,12201.78964,100,100000,40033.33333,0,0,0,1,9,SONM,SONM
0,45561.42,26284.49,802574.4,13,8,0,7,5,0,45.4,21.925,0,99,20.327692,0,0,0,21,264.26,175.4,0,-88.86,15,21167.384,636100,0,4,6,0,6,0,0,0,0,1,20180.614,2645.923,2500,300000,90871.42857,0,0,0,2,6,BAT,NEVERDIE
0,379.78,56424.63,339687.12,3,6,0,6,1,0,1.515068,0.888941,4.5,4.5,4.5,0,0,0,9,13.5,5.333649,0,-8.166351,13,53070.89588,0,0,0,10,0,13,0,0,0,0,0,52417,4082.376606,0,0,0,0,0,0,0,13,None,Tronix
0,1478.05,51541.26,355017.02,33,6,0,3,11,0,51,9.803306,0,20,2.307983,0,0,0,39,76.16345259,58.81983438,0,-17.34361821,7,25000,27500,0,3,1,0,2,0,0,0,0,1.00E-06,25000,12500,0,15000,5500,0,0,0,4,2,StatusNetwork,StatusNetwork
0,164.22,0,328.45,2,1,0,1,2,101,101,101,1.335323,99.663651,50.499487,0,0,0,3,100.9989738,101,0,0.001026218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
